shapeid,partid,x,y,Name
0,0,577743.4375,151678.3125,100-H Area
0,0,577658.0625,151679.7344,100-H Area
0,0,577655.75,151679.9688,100-H Area
0,0,577653.1875,151680.6406,100-H Area
0,0,577650.8125,151681.75,100-H Area
0,0,577648.6875,151683.25,100-H Area
0,0,577646.8125,151685.0938,100-H Area
0,0,577645.3125,151687.2344,100-H Area
0,0,577644.25,151689.6094,100-H Area
0,0,577643.5,151692.3125,100-H Area
0,0,577641.4375,151692.4063,100-H Area
0,0,577629.6875,151693.1563,100-H Area
0,0,577625.0625,151693.6094,100-H Area
0,0,577623.9375,151693.7656,100-H Area
0,0,577619.4375,151694.5625,100-H Area
0,0,577618.3125,151694.7969,100-H Area
0,0,577613.8125,151695.9219,100-H Area
0,0,577612.75,151696.2344,100-H Area
0,0,577608.375,151697.7031,100-H Area
0,0,577606.4375,151698.5156,100-H Area
0,0,577601.0625,151701.2188,100-H Area
0,0,577595.8125,151704.2031,100-H Area
0,0,577590.75,151707.4219,100-H Area
0,0,577586.25,151710.5469,100-H Area
0,0,577554.5625,151733.2813,100-H Area
0,0,577535.9375,151746.7344,100-H Area
0,0,577531.6875,151749.8594,100-H Area
0,0,577515.75,151761.375,100-H Area
0,0,577474.375,151791.0469,100-H Area
0,0,577421.875,151828.7656,100-H Area
0,0,577374.5,151863.0156,100-H Area
0,0,577314.5625,151905.8906,100-H Area
0,0,577254.4375,151949.3281,100-H Area
0,0,577249.9375,151952.8281,100-H Area
0,0,577245.5625,151956.5313,100-H Area
0,0,577241.375,151960.4375,100-H Area
0,0,577237.875,151964.0313,100-H Area
0,0,577237.0625,151964.875,100-H Area
0,0,577232.4375,151970.3438,100-H Area
0,0,577231.6875,151971.375,100-H Area
0,0,577227.5625,151977.2344,100-H Area
0,0,577226.8125,151978.3281,100-H Area
0,0,577223.25,151984.5156,100-H Area
0,0,577222.625,151985.6719,100-H Area
0,0,577219.5625,151992.1563,100-H Area
0,0,577219.1875,151993.0781,100-H Area
0,0,577216.8125,151999.1094,100-H Area
0,0,577216.4375,152000.2188,100-H Area
0,0,577214.5625,152006.4063,100-H Area
0,0,577214.25,152007.5469,100-H Area
0,0,577212.875,152013.8594,100-H Area
0,0,577212.625,152015.0156,100-H Area
0,0,577211.75,152021.4219,100-H Area
0,0,577211.625,152022.5469,100-H Area
0,0,577211.375,152026.3594,100-H Area
0,0,577211.25,152030.1719,100-H Area
0,0,577211.25,152033.9688,100-H Area
0,0,577211.25,152037.25,100-H Area
0,0,577211,152095.8906,100-H Area
0,0,577211.0625,152100.0781,100-H Area
0,0,577210.75,152175.25,100-H Area
0,0,577210.5625,152220.7344,100-H Area
0,0,577210.4375,152267.4844,100-H Area
0,0,577210.375,152308.3281,100-H Area
0,0,577210.3125,152326.0313,100-H Area
0,0,577210.125,152358.6875,100-H Area
0,0,577210.0625,152386.3281,100-H Area
0,0,577209.9375,152424.9688,100-H Area
0,0,577209.8125,152464.6094,100-H Area
0,0,577209.8125,152508.1406,100-H Area
0,0,577209.5625,152559.0156,100-H Area
0,0,577209.375,152599.9375,100-H Area
0,0,577209.375,152604.9531,100-H Area
0,0,577209.3125,152637.7031,100-H Area
0,0,577209.25,152675.8125,100-H Area
0,0,577209.25,152677.0469,100-H Area
0,0,577209.25,152679.8438,100-H Area
0,0,577209.125,152718,100-H Area
0,0,577209,152749.7188,100-H Area
0,0,577208.9375,152791.5938,100-H Area
0,0,577208.75,152830.0156,100-H Area
0,0,577208.625,152870.5,100-H Area
0,0,577208.5625,152906.7969,100-H Area
0,0,577208.5,152943.4844,100-H Area
0,0,577208.4375,152981.625,100-H Area
0,0,577208.3125,153015.0469,100-H Area
0,0,577208.3125,153044.0156,100-H Area
0,0,577208.25,153062.625,100-H Area
0,0,577208.1875,153075.7031,100-H Area
0,0,577208.125,153099.9844,100-H Area
0,0,577208.125,153103.2656,100-H Area
0,0,577208.125,153139.4531,100-H Area
0,0,577207.9375,153184.6406,100-H Area
0,0,577207.8125,153218.3906,100-H Area
0,0,577207.75,153260.5,100-H Area
0,0,577207.625,153309.75,100-H Area
0,0,577207.5625,153358.0625,100-H Area
0,0,577207.5625,153360.0313,100-H Area
0,0,577207.5625,153405.4063,100-H Area
0,0,577207.5,153428,100-H Area
